ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu40,12,2,5,303,47,6,38,7,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,phreatobacteraceae,phreatobacter,phreatobacter stygius
Zotu41,8,3,13,15,89,206,48,18,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,baekduiaceae,baekduia,baekduia soli
Zotu42,2,4,18,7,7,32,8,8,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,acidiferrimicrobium,acidiferrimicrobium australe
Zotu43,0,0,0,0,0,0,0,0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingosinicellaceae,sphingosinicella,sphingosinicella humi
Zotu44,0,1,0,2,0,0,3,9,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,erythrobacteraceae,croceibacterium,croceibacterium soli
Zotu45,10,6,7,6,6,4,27,291,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga aerilata
Zotu46,358,43,29,161,11,13,16,97,bacteria,bacillota,bacilli,bacillales,bacillaceae,priestia,priestia koreensis
Zotu47,8,9,11,11,11,12,11,14,bacteria,actinomycetota,actinomycetes,micromonosporales,micromonosporaceae,actinoplanes,actinoplanes rhizophilus
Zotu48,12,4,9,8,6,14,28,56,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,caenimonas,caenimonas soli
Zotu49,7,5,6,6,7,8,5,24,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu50,5,0,5,4,4,3,3,75,bacteria,deinococcota,deinococci,deinococcales,deinococcaceae,deinococcus,deinococcus deserti
Zotu51,9,13,1,77,2,0,1,1,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,kaistiaceae,kaistia,kaistia granuli
Zotu52,5,6,6,4,3,24,54,12,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides pakistanensis
Zotu53,6,9,10,5,11,8,9,12,bacteria,actinomycetota,actinomycetes,kitasatosporales,streptomycetaceae,streptomyces,streptomyces roseolilacinus
Zotu54,3,5,5,4,2,7,9,9,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,phyllobacteriaceae,phyllobacterium,phyllobacterium myrsinacearum
Zotu55,12,12,43,3,15,13,17,13,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,boseaceae,bosea,bosea massiliensis
Zotu56,4,4,52,3,54,116,41,80,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga roseola
Zotu57,18,30,220,289,237,624,433,31,bacteria,actinomycetota,actinomycetes,nakamurellales,nakamurellaceae,nakamurella,nakamurella antarctica
Zotu58,6,3,2,6,5,5,11,214,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu59,2,3,2,1,15,8,4,21,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,ramlibacter,ramlibacter algicola
Zotu60,1232,38,7,2,54,0,5,1,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,candidatus methanomethylophilaceae,candidatus methanomethylophilus,candidatus methanomethylophilus alvus
Zotu61,0,1,2,1,0,0,0,2,bacteria,bacillota,clostridia,eubacteriales,symbiobacteriaceae,symbiobacterium,symbiobacterium terraclitae
Zotu62,0,0,0,0,0,0,0,0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides jensenii
Zotu63,6,2,10,6,4,3,3,6,bacteria,actinomycetota,actinomycetes,pseudonocardiales,pseudonocardiaceae,pseudonocardia,pseudonocardia adelaidensis
Zotu64,5,1,10,9,5,6,6,7,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides szechwanensis
Zotu65,3,2,3,2,0,1,0,0,bacteria,planctomycetota,planctomycetia,pirellulales,pirellulaceae,aureliella,aureliella helgolandensis
Zotu66,0,1,3,2,1,2,2,6,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu67,6,34,356,400,67,24,9,5,bacteria,actinomycetota,actinomycetia,streptosporangiales,streptosporangiaceae,thermobispora,thermobispora bispora
Zotu68,1,2,1,4,0,1,3,26,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium horti
Zotu69,1,0,2,6,1,2,2,91,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium rubrum
Zotu70,5,2,4,0,3,4,2,12,bacteria,actinomycetota,actinomycetes,micrococcales,microbacteriaceae,microbacterium,microbacterium proteolyticum
Zotu71,0,0,3,3,1,36,76,187,bacteria,pseudomonadota,betaproteobacteria,rhodocyclales,zoogloeaceae,pseudothauera,pseudothauera nasutitermitis
