"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu5497",4.56457587082609e-05,22,NA,0.674603174603175,0.674603174603175,FALSE
"Zotu3204",7.07645867760882e-05,26,NA,0.706349206349206,0.706349206349206,FALSE
"Zotu904",0.000263297444743683,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu4042",2.76911978415322e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu5752",1.66914005838529e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu5634",3.99153414510031e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu2061",6.539338432799e-05,24,NA,0.69047619047619,0.69047619047619,FALSE
"Zotu3615",5.33868398543554e-05,22,NA,0.174603174603175,0.174603174603175,FALSE
"Zotu1966",6.64370863587054e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu2605",3.87691636163199e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu6285",1.69158464744307e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu4917",2.00038685583535e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu6375",2.0062793817091e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu6168",7.66895447529512e-06,2,NA,0.515873015873016,0.515873015873016,FALSE
"Zotu5505",1.51414966967897e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu4144",2.01943053053431e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu4178",2.64174798801245e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu569",0.000257717810240109,24,NA,0.69047619047619,0.69047619047619,FALSE
"Zotu5199",1.58113467616952e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu1754",9.20481060036633e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu3290",3.78866380457962e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu3576",2.80494366763805e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu1738",6.32266527711565e-05,19,NA,0.150793650793651,0.150793650793651,FALSE
"Zotu3488",4.72604361763539e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu5472",9.16053651454365e-06,3,NA,0.523809523809524,0.523809523809524,FALSE
"Zotu2535",6.04739529218227e-05,4,NA,0.531746031746032,0.531746031746032,FALSE
"Zotu1604",9.16276415292027e-05,20,NA,0.658730158730159,0.658730158730159,FALSE
"Zotu2932",2.26501649127512e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu1290",0.00011643068341313,28,NA,0.722222222222222,0.722222222222222,FALSE
"Zotu1792",8.33235286648105e-05,27,NA,0.714285714285714,0.714285714285714,FALSE
"Zotu4752",3.15254340558131e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu4875",1.84851268126738e-05,4,NA,0.531746031746032,0.531746031746032,FALSE
"Zotu1029",0.000149505102254466,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu3259",4.94790305405989e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu4309",2.27482917710169e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu2713",4.735096499224e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu4340",6.42973828501103e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu2005",0.00028946490993616,23,NA,0.682539682539683,0.682539682539683,FALSE
"Zotu5973",2.4500383069468e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu1011",0.000180859556298476,22,NA,0.174603174603175,0.174603174603175,FALSE
"Zotu4024",3.29064252789476e-05,3,NA,0.523809523809524,0.523809523809524,FALSE
"Zotu6132",1.5644640961636e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu3351",3.48776014939523e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu4273",6.01550447334214e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu2742",4.84709861719913e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu5647",4.19353850579939e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu3748",4.57051218867971e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu4199",5.41411278533675e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu3262",2.87591843124508e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu3257",5.76540391736763e-05,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu2015",6.12241067013485e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu5528",1.41617230942176e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu2729",4.59339288269253e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu4884",1.65444870140114e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu1850",8.16782901702494e-05,31,NA,0.246031746031746,0.246031746031746,FALSE
"Zotu4660",2.43049799729434e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu3777",3.17675381305619e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu4641",4.09505313985753e-05,15,NA,0.119047619047619,0.119047619047619,FALSE
"Zotu6025",2.69469152278843e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu2224",8.2719219556072e-05,22,NA,0.674603174603175,0.674603174603175,FALSE
"Zotu5243",2.05275067533625e-05,4,NA,0.531746031746032,0.531746031746032,FALSE
"Zotu1803",5.807229131894e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu4715",6.63454406733059e-05,25,NA,0.698412698412698,0.698412698412698,FALSE
"Zotu2732",7.80416106951794e-05,25,NA,0.198412698412698,0.198412698412698,FALSE
"Zotu1616",9.42456529175104e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu3273",3.11137940463109e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu1153",0.000137353618869705,29,NA,0.23015873015873,0.23015873015873,FALSE
