ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu30,0.036746,0.009719,0.009519,0.015371,0.0357,0.041254,0.301394,0.552677,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia varians
Zotu31,0.013362,0.00648,0.009519,0.012297,0.022718,0.031734,0.015698,0.025122,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum autotrophicum
Zotu32,0.013362,0.035638,0.133261,0.633281,0.678307,0.980579,2.445686,1.406814,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu33,0.033406,0.035638,0.041248,0.027668,0.029209,0.076161,0.109883,0.248077,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus antri
Zotu34,0.020043,0.009719,0.02221,0.021519,0.032455,0.031734,0.025116,0.166431,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum autotrophicum
Zotu35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter arboris
Zotu36,0.043427,0.048597,0.028556,0.024593,0.06491,0.063468,0.059651,0.043963,bacteria,actinomycetota,actinomycetes,propionibacteriales,propionibacteriaceae,cutibacterium,cutibacterium acnes
Zotu37,0.026725,0.00648,0.009519,0.018445,0.006491,0.041254,0.06593,0.025122,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu38,0.898614,0.097194,0.196719,0.024593,0.142802,0.072988,0.160116,0.251217,bacteria,bacillota,bacilli,bacillales,bacillaceae,priestia,priestia koreensis
Zotu39,0.013362,0.022679,0.053939,0.006148,0.038946,0.022214,0.040814,0.040823,bacteria,pseudomonadota,gammaproteobacteria,oceanospirillales,halomonadaceae,halomonas,halomonas stevensii
Zotu40,0.040087,0.00648,0.015864,0.931477,0.152538,0.01904,0.119302,0.021981,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,phreatobacteraceae,phreatobacter,phreatobacter stygius
Zotu41,0.026725,0.009719,0.041248,0.046113,0.288849,0.653719,0.150697,0.056524,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,baekduiaceae,baekduia,baekduia soli
Zotu42,0.006681,0.012959,0.057112,0.021519,0.022718,0.101549,0.025116,0.025122,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,acidiferrimicrobium,acidiferrimicrobium australe
Zotu43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,sphingosinicellaceae,sphingosinicella,sphingosinicella humi
Zotu44,0.0,0.00324,0.0,0.006148,0.0,0.0,0.009419,0.028262,bacteria,pseudomonadota,alphaproteobacteria,sphingomonadales,erythrobacteraceae,croceibacterium,croceibacterium soli
Zotu45,0.033406,0.019439,0.02221,0.018445,0.019473,0.012694,0.084767,0.913801,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga aerilata
Zotu46,1.195925,0.139312,0.092014,0.494943,0.0357,0.041254,0.050232,0.3046,bacteria,bacillota,bacilli,bacillales,bacillaceae,priestia,priestia koreensis
Zotu47,0.026725,0.029158,0.034902,0.033816,0.0357,0.038081,0.034535,0.043963,bacteria,actinomycetota,actinomycetes,micromonosporales,micromonosporaceae,actinoplanes,actinoplanes rhizophilus
Zotu48,0.040087,0.012959,0.028556,0.024593,0.019473,0.044428,0.087907,0.175852,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,caenimonas,caenimonas soli
Zotu49,0.023384,0.016199,0.019037,0.018445,0.022718,0.025387,0.015698,0.075365,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu50,0.016703,0.0,0.015864,0.012297,0.012982,0.00952,0.009419,0.235516,bacteria,deinococcota,deinococci,deinococcales,deinococcaceae,deinococcus,deinococcus deserti
Zotu51,0.030065,0.042118,0.003173,0.236712,0.006491,0.0,0.00314,0.00314,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,kaistiaceae,kaistia,kaistia granuli
Zotu52,0.016703,0.019439,0.019037,0.012297,0.009736,0.076161,0.169534,0.037683,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides pakistanensis
Zotu53,0.020043,0.029158,0.031729,0.015371,0.0357,0.025387,0.028256,0.037683,bacteria,actinomycetota,actinomycetes,kitasatosporales,streptomycetaceae,streptomyces,streptomyces roseolilacinus
Zotu54,0.010022,0.016199,0.015864,0.012297,0.006491,0.022214,0.028256,0.028262,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,phyllobacteriaceae,phyllobacterium,phyllobacterium myrsinacearum
Zotu55,0.040087,0.038878,0.136434,0.009223,0.048682,0.041254,0.053372,0.040823,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,boseaceae,bosea,bosea massiliensis
Zotu56,0.013362,0.012959,0.16499,0.009223,0.175256,0.368114,0.12872,0.251217,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga roseola
Zotu57,0.06013,0.097194,0.698036,0.888438,0.769181,1.980198,1.359412,0.097347,bacteria,actinomycetota,actinomycetes,nakamurellales,nakamurellaceae,nakamurella,nakamurella antarctica
Zotu58,0.020043,0.009719,0.006346,0.018445,0.016227,0.015867,0.034535,0.672005,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu59,0.006681,0.009719,0.006346,0.003074,0.048682,0.025387,0.012558,0.065944,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,ramlibacter,ramlibacter algicola
