Sample Name:,in office measurements,Descriptions from Geolgoy notebook,Lab notes ,Anatomy ,Anatomy ,Sample Site,Coordinates,Latitude (°N),Longitude (°W)
EUREKA SAND ED-19A,,"lower medium sand, no oxides, stoss side of crest",fine sand,Stoss,Stoss,Eureka,"37.10174N, 117.67090W",37.10174,117.6709
EUREKA SAND ED-20A,,"lower medium sand, no oxides, stoss side of crest",fine/medium sand,Stoss,Stoss,Eureka,"37.10090N, 117.67151W",37.1009,117.67151
EUREKA SAND ED-21A,,"upper fine sand, lee of massive peak, singing sand ",fine sand,Lee,Lee,Eureka,"37.10080N, 117.67142W",37.1008,117.67142
EUREKA SAND ED-22A,,"lower medium sand, no oxides, lee of massive peak",-,Lee,Lee,Eureka,"37.10080N, 117.67136W",37.1008,117.67136
EUREKA SAND ED-23A,,"lower medium sand, lee of massive peak",medium sand,Lee,Lee,Eureka,"37.10014N, 117.67117W",37.10014,117.67117
EUREKA SAND ED-24A,,"lower coarse sand, lee of massive peak",medium sand,Lee,Lee,Eureka,"37.09895N, 117.66830W",37.09895,117.6683
EUREKA SAND ED-33A,,"interdune,below massive peak at 22mm depth ",,Interdune,Interdune,Eureka,"37.10761N, 117.66415W",37.10761,117.66415
IBEX SAND IX-1B,,"interdune, before big dune starts",coarse sand,Interdune,Interdune,Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-2A,,"stoss, big major dune, wind blowing N to SW",-,Stoss,Stoss,Ibex,"35.69136N, 116.36893W",35.69136,116.36893
IBEX SAND IX-3A,,bowl of dune,-,"Stoss , Bowl",Bowl,Ibex,"35.69112N, 116.36838W",35.69112,116.36838
IBEX SAND IX-4B,,stoss,fine sand,Stoss,Stoss,Ibex,"35.69078N, 116.36782W",35.69078,116.36782
IBEX SAND IX-5A,,"lower medium sand, lee, ripples",-,Lee,Lee,Ibex,"35.69053N, 116.36710W",35.69053,116.3671
IBEX SAND IX-6A,,"lower fine sand, lee of big dune",fine/medium sand,Lee,Lee,Ibex,"35.69053N, 116.36710W",35.69053,116.3671
IBEX SAND IX-7A,,"interdune, after big dune, edge of field",fine/medium sand,Interdune,Interdune,Ibex,"35.69017N, 116.36547W",35.69017,116.36547
IBEX SAND IX-8A,,"very coarse sand, east side of arm, top is armored with coarse black/red sand with lower fine sand below it",very coarse and lower fine sand,Lee,West Arm,Ibex,"35.69405N, 116.36053W",35.69405,116.36053
IBEX SAND IX-9A,,"crest of arm, some samples finer grained, not as armored",medium/coarse sand ,"Stoss , Crest",Crest,Ibex,"35.69380N, 116.36054W",35.6938,116.36054
IBEX SAND IX-10A,,"very coarse to fine grained, east side of arm",medium/coarse sand,Lee,East Arm,Ibex,"35.69380N, 116.36054W",35.6938,116.36054
IBEX SAND IX-10CM A,,wet,"medium sand, damp",Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-2OCM B,,wet,"fine/medium sand, damp",Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-3OCM A,,damp,"medium sand, damp",Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-40CM A,,,coarse sand with oxides,Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-50CM A,,dry,coarse sand with oxides,Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-60CM A,,,"coarse, medium, fine sand ",Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-70CM A,,,coarse/medium sand,Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
IBEX SAND IX-80CM A,,,medium sand ,Interdune,Interdune(OSL),Ibex,"35.6919N, 116.37035W",35.6919,116.37035
BLANK,,,,BLANK,BLANK,BLANK,BLANK,BLANK,
