ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Lee,Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,nan,nan,nan,nan,nan,nan,nan
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.30A,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu16,21,37,70,43,21,111,95,271,63,68,17,185,18,335,223,313,72,15,420,308,17,12,407,106,10,14,180,604,54,18,15,167,18,16,15,22,19,15,11,147,241,23,238,7,288,116,9,11,11,539,340,261,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga roseola
Zotu17,9,22,76,13,20,13,12,56,38,8,64,70,19,74,29,15,13,12,8,149,17,6,9,13,315,1116,535,562,290,580,17,312,151,10,471,473,91,478,68,320,194,19,19,19,16,13,13,19,29,100,65,67,bacteria,chloroflexota,chloroflexia,kallotenuales,kallotenuaceae,kallotenue,kallotenue papyrolyticum
Zotu18,63,187,150,31,40,30,28,153,122,167,62,124,10,180,241,27,31,22,615,267,229,439,18,117,128,63,229,705,281,355,585,249,18,16,209,593,19,244,7,183,590,23,42,14,10,11,15,10,5,146,57,124,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter halodurans
Zotu19,11,54,137,10,17,17,9,248,149,9,27,95,8,99,71,5,185,199,21,58,7,24,8,92,99,257,177,102,308,85,166,120,98,190,140,76,138,69,11,10,27,13,14,375,1119,683,309,495,272,21,25,22,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu20,30,30,175,17,26,14,15,79,155,10,32,143,5,50,155,11,785,23,15,91,20,12,0,7,266,578,20,96,116,110,201,313,389,130,143,105,64,283,95,255,106,34,75,38,415,80,275,931,534,172,548,360,bacteria,actinomycetota,actinomycetes,kitasatosporales,streptomycetaceae,streptomyces,streptomyces baliensis
Zotu21,13,467,48,38,56,25,27,147,85,14,264,86,12,91,45,19,123,21,16,18,16,194,295,19,242,206,46,218,343,103,50,115,96,116,126,227,298,201,9,328,145,18,30,140,13,55,139,160,125,27,53,46,bacteria,bacillota,bacilli,bacillales,paenibacillaceae,ammoniphilus,ammoniphilus oxalaticus
Zotu22,1,3,4,4,7,4,4,11,3,4,4,11,7,5,13,4,9,3,7,2,3,383,5,11,273,112,569,70,238,16,118,87,128,236,285,502,1394,686,28,284,17,19,28,12,14,12,16,19,19,21,20,23,bacteria,pseudomonadota,gammaproteobacteria,nevskiales,nevskiaceae,panacagrimonas,panacagrimonas perspica
Zotu23,7,15,12,7,7,9,19,11,6,12,9,9,21,12,10,10,7,4,27,11,16,699,1320,12,6,481,291,443,249,13,174,225,14,9,593,235,14,924,16,58,15,7,9,9,3,10,16,17,7,14,8,14,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,segetibacter,segetibacter aerophilus
Zotu24,18,21,40,4,8,57,29,52,8,29,111,58,5,37,13,13,16,21,22,3,247,4,133,43,463,106,58,24,212,112,14,45,27,396,115,75,213,112,380,63,210,10,177,142,16,275,154,26,26,27,48,88,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiaceae,ralstonia,ralstonia syzygii
Zotu25,25,66,116,9,20,23,10,202,310,26,493,61,9,204,82,12,198,492,5,10,15,4,9,7,151,156,13,11,10,18,11,85,15,22,5,21,32,49,2,132,99,13,12,379,235,209,178,335,235,14,16,9,bacteria,actinomycetota,nitriliruptoria,egibacterales,egibacteraceae,egibacter,egibacter rhizosphaerae
