ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Lee,Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.30A,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu1,1.858713,2.838488,3.0469,0.714212,0.898215,1.140578,1.217137,1.580218,0.759037,0.820535,5.234624,5.411468,53.580982,0.979004,0.727214,0.728231,1.026487,9.231667,2.787489,17.782663,18.860744,31.75984,18.166752,20.815204,19.265956,2.145429,1.43876,0.930954,26.273313,20.422641,18.1081,13.680042,13.352411,17.373639,1.509712,1.035965,1.055885,1.40283,35.289299,1.010353,1.83186,0.43956,5.901141,12.617914,9.497703,11.021124,14.851004,10.443287,6.317646,1.247295,3.270255,7.755441,0.404209,0.242986,1.066091,2.151926,0.340776,0.758441,0.700113,0.59036,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,sediminibacterium,sediminibacterium salmoneum
Zotu2,0.110237,0.150201,0.135348,0.136691,0.145354,0.162049,0.164314,0.146713,0.133765,0.207456,0.094952,0.125991,0.106396,0.181639,0.153772,0.133251,0.070265,0.141317,0.11024,0.097707,0.091335,0.082002,0.081357,45.201837,0.121982,0.251157,0.099225,0.124127,0.126953,0.38176,0.411548,0.307003,0.331831,0.294109,0.383565,0.395831,0.367264,0.383706,12.369914,0.449046,3.079605,0.250627,16.827376,3.381965,4.174579,16.137318,0.245797,14.216072,0.389152,0.420008,25.326107,4.392598,0.180391,0.17819,0.301425,0.236712,0.256394,0.425235,0.992088,0.737949,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiaceae,burkholderia,burkholderia thailandensis
Zotu3,4.332915,0.560954,0.58231,0.20162,0.257165,0.592103,0.572055,0.571568,0.435513,0.458261,0.814751,1.668613,7.368677,0.455637,0.246676,0.173536,1.680262,2.138183,0.422061,1.944979,3.680813,3.158871,4.586133,1.492628,2.85581,1.437347,0.955039,0.862684,3.037814,6.748429,3.646008,2.106039,3.844983,7.492192,0.727239,0.90299,1.218094,1.777328,9.642283,0.757765,3.312028,0.19279,2.819772,3.503291,2.48392,1.601644,2.266796,2.098347,1.696461,0.25455,0.584849,1.386327,0.317354,0.311022,0.621887,3.44923,0.801636,0.285605,0.502323,0.499293,bacteria,pseudomonadota,alphaproteobacteria,caulobacterales,caulobacteraceae,phenylobacterium,phenylobacterium deserti
Zotu4,0.217411,4.190295,2.587347,0.266548,0.242257,0.296052,2.455574,2.34129,1.287874,0.356081,0.808625,2.120337,0.206712,4.060711,7.38427,0.151844,0.601839,0.239624,3.870988,0.714482,0.74895,1.394039,1.955585,1.030336,1.065547,1.61588,0.905426,3.18076,0.187407,1.515015,0.6097,1.335462,3.010838,0.130378,2.095799,1.549309,0.731468,2.937655,1.268242,7.384308,0.77984,0.223636,1.879848,0.16379,0.156202,0.571152,0.182072,0.323987,1.720783,7.315133,1.821912,4.580106,0.120261,0.103674,0.088841,0.126041,0.12982,0.130109,0.39558,2.552991,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia agri
Zotu5,1.175858,1.204672,0.531948,0.550183,0.152808,0.121537,1.013267,1.036159,1.496298,3.641318,1.268072,0.869645,0.103356,1.754818,0.467724,0.071274,0.320777,1.422383,0.151186,0.964856,0.962065,0.099829,0.852744,0.232657,0.853873,1.379853,0.511628,1.266098,0.105795,0.97995,0.323141,0.589445,0.639308,0.084897,1.233545,1.366855,0.067332,1.310741,0.130465,2.444805,2.526071,0.104106,0.170342,3.651915,2.18683,1.299447,2.360867,4.108884,1.459321,0.426371,0.278645,0.507193,0.083514,0.087475,0.145953,0.064558,0.110347,0.139629,0.332789,0.587219,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu6,0.104112,0.141005,0.280138,0.092267,0.1379,0.09349,0.182571,0.296482,0.108878,0.046445,0.300172,0.491672,6.481031,0.076966,0.121736,0.083669,0.464363,0.829468,0.163785,3.007542,5.644523,0.588277,1.563865,0.49855,1.187529,0.695978,0.111628,0.093095,0.71638,2.233445,3.152151,2.093759,0.560156,3.426215,0.122741,0.064941,0.070392,0.466587,0.779757,0.043657,0.06728,0.080972,0.355894,0.579332,0.722818,0.800822,1.781271,0.817538,0.814788,0.079547,0.232715,0.162917,0.06013,0.035638,0.04442,0.024593,0.155783,0.104722,0.188371,0.081645,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,pseudolabrys,pseudolabrys taiwanensis
Zotu7,3.310163,1.04834,1.312559,1.093531,0.391338,0.389542,0.736368,1.274567,0.404405,2.117909,0.094952,1.023293,0.124635,1.271473,2.463559,0.223117,0.626279,0.78953,9.108948,0.247321,0.365341,0.156874,0.629765,0.187334,0.251139,0.826096,0.731783,2.541505,0.377838,0.474945,2.164436,0.466644,0.627131,0.084897,0.444935,1.110183,0.146906,0.168831,0.06675,0.74841,2.727912,0.296896,1.088973,0.030332,0.067381,0.051373,0.060691,0.075698,0.164174,1.689576,0.382755,1.186524,0.030065,0.038878,0.04442,0.033816,0.032455,0.053948,0.047093,0.618621,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu8,1.91077,0.66824,0.563425,0.078598,0.141627,0.118421,0.337756,0.880276,0.304859,0.207456,0.122519,0.460943,0.057758,0.62804,0.333173,0.409049,0.284117,1.422383,1.735488,0.723642,0.088291,0.470622,1.663302,0.353517,0.825171,0.505341,0.672868,1.598138,1.218148,0.273544,0.658476,1.452123,1.345592,0.827749,1.432999,1.085444,0.195874,1.243208,1.204527,1.440689,0.917459,0.138809,2.180989,0.033365,0.165391,0.111813,0.078898,0.075698,0.708379,0.935472,0.379693,0.737735,0.083514,0.051837,0.031729,0.043039,0.077892,0.066641,0.091046,1.133616,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu9,0.146982,6.737578,2.518099,0.225541,0.197533,0.18698,0.170399,3.576123,1.253655,0.130047,2.021563,1.951324,0.127675,1.114463,1.540926,0.151844,1.154798,0.150533,0.513402,0.094654,0.149181,0.106959,0.46705,0.196398,1.765149,0.574939,0.285271,0.375485,0.151135,0.270538,0.222541,0.211832,0.47187,0.585185,0.865323,0.436033,0.373386,0.34994,0.009102,0.271298,0.021407,0.015423,0.352852,0.039431,0.474732,0.157142,0.373248,0.042391,0.24626,0.451826,0.205156,0.65474,0.016703,0.035638,0.019037,0.015371,0.022718,0.031734,0.037674,0.097347,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus antri
