"","MESQUITE.FLATS.SAND.MF.4B","MESQUITE.FLATS.SAND.MF.5B","MESQUITE.FLATS.SAND.MF.6B","MESQUITE.FLATS.SAND.MF.7B","MESQUITE.FLATS.SAND.MF.8B","MESQUITE.FLATS.SAND.MF.11A","MESQUITE.FLATS.SAND.MF.12A","MESQUITE.FLATS.SAND.MF.13A","MESQUITE.FLATS.SAND.MF.14B","MESQUITE.FLATS.SAND.MF.15A","MESQUITE.FLATS.SAND.MF.16A","MESQUITE.FLATS.SAND.MF.17A","MESQUITE.FLATS.SAND.MF.18B","MESQUITE.FLATS.SAND.MF.19A","MESQUITE.FLATS.SAND.MF.20A","MESQUITE.FLATS.SAND.MF.27B","MESQUITE.FLATS.SAND.MF.28A","MESQUITE.FLATS.SAND.MF.30A","MESQUITE.FLATS.SAND.MF.31B","MESQUITE.FLATS.SAND.MF.33A","EUREKA.SAND.ED.01A","EUREKA.SAND.ED.02B","EUREKA.SAND.ED.03A","EUREKA.SAND.ED.04A","EUREKA.SAND.ED.05A","EUREKA.SAND.ED.06A","EUREKA.SAND.ED.08A","EUREKA.SAND.ED.09A","EUREKA.SAND.ED.10A","EUREKA.SAND.ED.11A","EUREKA.SAND.ED.12A","EUREKA.SAND.ED.13A","EUREKA.SAND.ED.14B","EUREKA.SAND.ED.15B","EUREKA.SAND.ED.16A","EUREKA.SAND.ED.17B","EUREKA.SAND.ED.18A","EUREKA.SAND.ED.19A","EUREKA.SAND.ED.20A","EUREKA.SAND.ED.21A","EUREKA.SAND.ED.22A","EUREKA.SAND.ED.23A","EUREKA.SAND.ED.24A","EUREKA.SAND.ED.33A","IBEX.SAND.IX.1B","IBEX.SAND.IX.2A","IBEX.SAND.IX.3A","IBEX.SAND.IX.4B","IBEX.SAND.IX.5A","IBEX.SAND.IX.6A","IBEX.SAND.IX.7A","IBEX.SAND.IX.8A","IBEX.SAND.IX.9A","IBEX.SAND.IX.10A","IBEX.SAND.IX.10CM.A","IBEX.SAND.IX.2OCM.B","IBEX.SAND.IX.3OCM.A","IBEX.SAND.IX.40CM.A","IBEX.SAND.IX.50CM.A","IBEX.SAND.IX.60CM.A","IBEX.SAND.IX.70CM.A","IBEX.SAND.IX.80CM.A"
"Zotu14",68,63,38,50,30,7581,30,57,39,623,51,47,26,63,42,280,40,59,64,53,53,42,54,43,48,54,48,74,71,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu132",538,29,14,8,2,1261,15,16,16,14,9,17,7,14,20,12,11,11,8,5,7,8,9,7,3,23,22,4,4,16,9,1,0,0,0,0,0,0,0,1,0,1,0,0,49,2,1,0,4,0,46,5,17,0,0,0,0,0,1,0,1,31
"Zotu147",7,538,24,5,1,2,4,345,97,3,33,10,10,51,28,11,8,114,118,11,4,5,9,10,13,6,11,5,11,19,12,2,1,1,0,3,47,28,1,5,1,0,1,0,3,1,135,2,1,2,0,11,1,1,1,1,54,3,0,1,2,1
"Zotu10",39,186,88,27,34,45,534,381,217,1675,97,91,21,400,89,19,34,77,60,426,46,18,395,22,563,268,170,299,104,272,207,15,16,244,234,19,593,191,146,536,20,699,104,18,18,12,184,296,26,222,242,152,65,99,10,11,12,10,10,14,15,55
"Zotu314",15,8,5,5,5,6,4,3,0,3,0,13,4,6,24,2,8,8,0,3,4,0,6,0,5,3,40,2,522,91,4,2,0,1,65,1,0,1,0,50,1,1,1,0,1,2,1,0,0,0,24,1,0,12,0,1,1,1,0,0,1,3
"Zotu6",34,46,89,27,37,30,60,97,35,15,98,160,2132,25,38,27,63,152,108,270,52,985,1854,165,519,165,331,230,36,30,237,743,1034,682,184,1130,40,21,23,152,257,14,22,21,117,191,236,265,587,270,268,25,76,53,18,11,14,8,48,33,60,26
"Zotu285",182,10,7,6,3,19,0,4,9,3,31,29,1,2,4,2,2,45,3,170,3,320,4,1,2,5,2,9,1,11,2,62,6,77,155,4,1,70,258,1,3,31,2,3,74,65,30,2,5,4,7,11,6,4,2,2,15,3,4,2,3,5
"Zotu840",258,1,2,4,1,1,3,33,0,2,1,3,3,1,1,3,0,3,3,4,16,0,5,0,0,4,5,3,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0
"Zotu183",106,18,62,2,8,8,46,83,14,232,8,29,5,32,48,4,38,44,5,441,32,5,6,4,8,8,5,10,17,5,12,0,2,1,2,6,1,2,0,6,0,0,0,3,3,2,2,52,1,3,141,26,22,47,0,0,1,0,0,2,0,1
"Zotu52",584,75,40,68,46,154,55,100,56,882,93,33,8,115,19,43,260,164,8,347,31,14,25,7,13,13,111,14,17,19,15,5,7,6,10,8,6,5,8,20,4,8,5,383,6,50,246,132,397,5,147,13,30,23,5,6,6,4,3,24,54,12
"Zotu85",239,28,19,3,7,18,3,1,4,2,5,48,7,5,4,12,3,7,27,34,58,174,1,1,1,41,292,99,11,30,139,236,1,5,57,444,69,4,20,59,153,2,2,5,8,3,88,58,65,4,3,5,3,3,4,4,4,278,3,15,11,4
